Date,Hueco Springs,San Antonio Springs,J17,San Pedro Springs,Leona Springs,J27,Las Moras Springs,Barton Springs,San Marcos Springs,Comal Springs
2001,95.61428571,35.45,674.8288493,10.11777778,11.17714286,876.2714795,null,90.74520548,232.8493151,340.5796703
2002,103.704878,105.7666667,681.6908767,14.928,6.461428571,879.2648785,null,97.4739726,271.3818681,380.1703297
2003,68.60547945,94,684.3711205,13.8,37.34285714,881.644,24.08695652,85.04109589,233.8547945,390.4027397
2004,73.4,126.1111111,686.4410986,16.52222222,53.21428571,882.9960979,39.00273973,68.95890411,212.060274,380.3972603
2005,65.89589041,139.44,686.1333929,16.803,79,883.9458078,30.24383562,80.5369863,233.8136986,397.8739726
2006,10.61589041,5.705714286,662.8053188,3.244285714,null,874.5157791,11.22493151,27.89041096,111.6684932,271.2821918
2007,79.1339726,100.317,683.9354127,13.789,8.87,875.9406451,33.33863014,89.53972603,266.490411,364.8164384
2008,24.16383562,31.8,674.1470519,7.063636364,null,878.3625895,22.7369863,36.85479452,139.8630137,323.6978022
2009,23.1230137,0,658.7831093,1.311,null,866.5612841,11.27342466,29.01369863,112.9616438,244.9369863
2010,70.71506849,30.1,676.1341686,7.943333333,null,866.5379862,15.73452055,90.14794521,216.5780822,343.0246575
2011,14.73884932,0,653.7013399,2.3375,null,854.7775459,5.873972603,31.17534247,117.3945205,226.5863014
2012,32.68931507,0,651.5633416,0.854333333,null,844.3136522,4.180054795,63.64657534,163.6383562,217.5671233
2013,15.29770993,0,648.2487606,0.155055556,null,842.7344508,2.436828728,45.04901826,142.3955125,201.3740971
